Start Time,06-08-2019-07-57-38,
End Time,06-08-2019-10-07-03,
Delta,2:09:24.816131,
,,
,,
,,
,,
,,
,Train,3.98
,Valid: ,0.39
,Test:,0.39
,4.76,
,,
,6.91,
