Index,Graph,Flow Cost,Time (sec),Num Iters
542,sf-market-500,7.276078943620639,1.481276512145996,81
543,sf-market-500,8.764632637831262,1.5349085330963135,111
544,sf-market-500,6.688544445848168,1.5785133838653564,89
545,sf-market-500,6.636955595215803,1.3658859729766846,95
546,sf-market-500,8.854434570674012,1.5649938583374023,125
547,sf-market-500,7.245160146153589,2.347926378250122,150
548,sf-market-500,6.998301909845899,0.3941836357116699,27
549,sf-market-500,7.058719904536028,0.4180917739868164,28
550,sf-market-500,10.402508527907125,0.515021800994873,35
551,sf-market-500,7.098146515764096,2.3110475540161133,133
552,sf-market-500,7.260361597299046,2.1058895587921143,141
553,sf-market-500,6.7649351780194795,1.6471409797668457,84
554,sf-market-500,8.039525010535845,1.4745478630065918,100
555,sf-market-500,8.606153005784822,0.8293313980102539,48
556,sf-market-500,9.84874870115278,1.5481061935424805,97
557,sf-market-500,7.554688559890104,1.416011095046997,113
558,sf-market-500,6.729887875771426,0.3712806701660156,25
559,sf-market-500,8.392936444707804,1.8241386413574219,135
560,sf-market-500,7.784602695780767,0.4704720973968506,33
561,sf-market-500,6.730473241512538,0.5920953750610352,46
562,sf-market-500,7.930107197686046,11.203796148300171,1001
563,sf-market-500,8.081034850452763,1.8475308418273926,119
564,sf-market-500,8.970865063488274,1.7915127277374268,117
565,sf-market-500,7.231786363282569,0.4383854866027832,31
566,sf-market-500,7.159722333604113,1.281367540359497,95
567,sf-market-500,13.063472774017178,1.6920177936553955,137
568,sf-market-500,8.429266559321274,0.3596305847167969,25
569,sf-market-500,7.211363273045998,0.4413936138153076,32
570,sf-market-500,6.6853704967514,0.6388974189758301,50
571,sf-market-500,7.324981418933893,0.3730895519256592,26
572,sf-market-500,8.286737983588395,2.6248691082000732,214
573,sf-market-500,7.1455093079670435,1.8252813816070557,164
574,sf-market-500,7.266278819362514,0.5598330497741699,41
575,sf-market-500,7.926749317917986,0.3732941150665283,27
576,sf-market-500,8.345007317396998,1.3653664588928223,106
577,sf-market-500,8.38822825652426,1.9686946868896484,127
578,sf-market-500,8.394292911987758,0.4905412197113037,35
579,sf-market-500,7.4091332218125,0.49968695640563965,35
580,sf-market-500,7.0817244242847295,0.42325258255004883,30
581,sf-market-500,7.187658888799027,1.3026931285858154,97
582,sf-market-500,7.884401563003079,0.6773092746734619,44
583,sf-market-500,7.260980487251232,0.5208847522735596,34
584,sf-market-500,7.35473770979718,0.4793388843536377,28
585,sf-market-500,8.660766350990848,1.370314598083496,122
586,sf-market-500,6.641818141395129,1.8737702369689941,108
587,sf-market-500,7.663388558447147,1.7011923789978027,117
588,sf-market-500,9.446275754631703,1.935513973236084,200
589,sf-market-500,7.76375722064262,0.5136978626251221,37
590,sf-market-500,8.309783959256468,1.5603280067443848,137
591,sf-market-500,6.998052820578866,0.532679557800293,33
592,sf-market-500,10.045418125410647,0.41117072105407715,28
593,sf-market-500,7.157131060029106,1.5912930965423584,78
594,sf-market-500,6.782933756508106,1.5949647426605225,101
595,sf-market-500,6.8205614480469885,1.0568914413452148,76
596,sf-market-500,7.484742412432813,1.6232519149780273,146
597,sf-market-500,7.299754375285394,0.40256404876708984,28
598,sf-market-500,9.63647353959878,1.5589752197265625,121
599,sf-market-500,6.851457581430987,0.48926353454589844,34
600,sf-market-500,7.9594833425571565,1.5713422298431396,138
601,sf-market-500,9.721343976528928,1.9136996269226074,105
602,sf-market-500,8.068161583334692,6.4042744636535645,535
603,sf-market-500,11.175747721491298,1.8448946475982666,119
604,sf-market-500,6.877525206910604,1.5661664009094238,87
605,sf-market-500,6.6733897083594975,1.6341443061828613,99
606,sf-market-500,7.122154406694554,1.5226151943206787,107
607,sf-market-500,8.241742479326996,0.4006671905517578,28
608,sf-market-500,8.845026945559503,1.787006139755249,126
609,sf-market-500,8.151091445397537,1.6916437149047852,123
610,sf-market-500,6.866348942527846,0.4386258125305176,31
611,sf-market-500,7.112818844330018,0.40486598014831543,28
612,sf-market-500,6.832950976159415,0.517650842666626,39
613,sf-market-500,7.568919847599743,1.628098487854004,102
614,sf-market-500,9.108093141809816,1.6095640659332275,110
615,sf-market-500,7.187060631485038,0.45236992835998535,33
616,sf-market-500,6.900277117358139,0.4434335231781006,31
617,sf-market-500,8.92141869636741,0.6393628120422363,49
618,sf-market-500,7.8320974553119385,1.3897068500518799,109
619,sf-market-500,7.089432151799636,1.6793622970581055,117
620,sf-market-500,7.536378508420028,0.6364946365356445,46
621,sf-market-500,7.22043316350444,0.8955361843109131,50
622,sf-market-500,9.451887398425288,1.3995702266693115,105
623,sf-market-500,8.079656782149245,1.6500916481018066,127
624,sf-market-500,7.234098629329518,0.6229074001312256,49
625,sf-market-500,7.319719040623142,2.180816411972046,146
626,sf-market-500,6.624611934993812,0.45703625679016113,32
627,sf-market-500,10.181255208282117,2.5964596271514893,165
628,sf-market-500,6.632290249559175,0.4513077735900879,32
629,sf-market-500,7.096541915285466,1.1706140041351318,94
630,sf-market-500,8.168767571252783,1.436089038848877,73
631,sf-market-500,7.794871683938974,0.5569572448730469,32
632,sf-market-500,6.620304181583814,1.826233148574829,115
633,sf-market-500,7.1579374925564245,0.47397685050964355,33
634,sf-market-500,9.381250152539682,11.314340829849243,1001
635,sf-market-500,7.575236835087422,0.4815506935119629,33
636,sf-market-500,9.034617089470055,2.1258554458618164,164
637,sf-market-500,7.432735711141018,0.33512020111083984,24
638,sf-market-500,9.728112873662795,1.0586082935333252,55
639,sf-market-500,7.317057668898001,1.5301764011383057,80
640,sf-market-500,7.496139802133209,0.4629662036895752,31
641,sf-market-500,6.792534476199364,0.5467827320098877,35
642,sf-market-500,7.650667129768784,0.5249795913696289,38
643,sf-market-500,6.859961677840964,0.4298219680786133,32
644,sf-market-500,9.5720422328656,2.0955898761749268,140
645,sf-market-500,8.776588889001104,0.5433011054992676,34
646,sf-market-500,7.814829765894093,1.6916067600250244,130
647,sf-market-500,6.888676717171272,0.47089433670043945,33
648,sf-market-500,8.997590596014227,1.5533452033996582,179
649,sf-market-500,7.755358229645786,12.543362379074097,1001
650,sf-market-500,7.8566180588854015,0.5978837013244629,33
651,sf-market-500,7.529832979620347,1.743642807006836,113
652,sf-market-500,8.299274121190543,2.008479356765747,116
653,sf-market-500,7.080928330767873,1.942094087600708,120
654,sf-market-500,10.114374591598317,11.371679306030273,1001
