Index,Graph,Flow Cost,Time (sec),Num Iters,,,
0,cambridge-500,10.4381510906024,6.06402778625488,1001,,,
1,cambridge-500,8.24954494068068,0.324230432510376,43,,,
2,cambridge-500,8.92340953605589,0.889245271682739,122,,,
3,cambridge-500,9.46317683344755,0.802396535873413,106,,,
4,cambridge-500,7.5491156661151,0.146087408065796,22,,,
5,cambridge-500,9.07039752659887,0.15791916847229,23,,,
6,cambridge-500,8.12727108927826,0.164421558380127,22,,,
7,cambridge-500,11.2994382264694,0.129066944122314,19,,,
8,cambridge-500,7.77851654509096,1.01102042198181,131,,,
9,cambridge-500,15.2806028273443,0.715759754180908,108,,,
10,cambridge-500,9.40373880746769,0.961480140686035,127,,,
11,cambridge-500,9.197601541977,0.203166484832764,28,,,
12,cambridge-500,8.36952477787197,0.728242874145508,107,,,
13,cambridge-500,10.3588962385779,0.767340660095215,104,,,0.609966397285461
14,cambridge-500,16.1578719595594,0.330273628234863,54,,,
15,cambridge-500,14.9377815251398,0.157834053039551,23,,,
16,cambridge-500,13.1343094539395,0.186360120773315,26,,,
17,cambridge-500,8.50849977680091,0.902206897735596,148,,,
18,cambridge-500,8.24871167932768,0.54166841506958,103,,,
19,cambridge-500,12.5425439962428,0.94668984413147,125,,,
20,cambridge-500,7.83243338051861,0.845683097839356,118,,,
21,cambridge-500,8.7894692809382,0.688115119934082,94,,,
22,cambridge-500,13.5276929454738,0.124357223510742,18,,,
23,cambridge-500,9.28545818696942,0.926636219024658,151,,,
24,cambridge-500,8.71564020993831,1.04543876647949,173,,,
25,cambridge-500,8.58341169474814,0.838821887969971,115,,,
26,cambridge-500,11.5058734892485,6.14667201042175,1001,,,
27,cambridge-500,13.8192111118835,1.07834506034851,225,,,
28,cambridge-500,9.99010506961086,0.355270147323608,59,,,
29,cambridge-500,8.44138222894682,0.740889072418213,109,,,
30,cambridge-500,9.05732594974846,0.182751417160034,23,,,
31,cambridge-500,8.6278196122842,14.3603777885437,1001,,,
32,cambridge-500,8.87729695030423,0.186640501022339,24,,,
33,cambridge-500,12.4181363190779,0.933155059814453,115,,,
34,cambridge-500,11.6933797581036,0.255294561386108,39,,,
35,cambridge-500,12.0116772203053,0.160458564758301,25,,,
36,cambridge-500,6.99489274016294,0.518903255462647,70,,,
37,cambridge-500,11.238054334357,0.150512456893921,25,,,
38,cambridge-500,8.74537967140647,0.176732301712036,26,,,
39,cambridge-500,9.73613602202248,0.119311094284058,17,,,
40,cambridge-500,8.94504926515331,0.93146800994873,131,,,
41,cambridge-500,10.4301834881677,0.168616771697998,24,,,
42,cambridge-500,10.5483491781629,0.173398494720459,26,,,
43,cambridge-500,10.2492937104481,0.243126392364502,27,,,
44,cambridge-500,9.87548614288541,0.145555973052979,20,,,
45,cambridge-500,8.09526093774942,0.169422626495361,25,,,
46,cambridge-500,9.05249912415041,0.145027637481689,22,,,
47,cambridge-500,11.7851646487223,0.630905628204346,98,,,
48,cambridge-500,9.61166476281793,0.240498542785645,33,,,
49,cambridge-500,12.9906247248194,0.396192789077759,60,,,
50,cambridge-500,11.3790401679191,0.190646171569824,27,,,
51,cambridge-500,7.21276832027061,0.698012828826904,95,,,
52,cambridge-500,9.53665912464916,0.15560245513916,24,,,
53,cambridge-500,9.53098071318966,0.80251407623291,119,,,
54,cambridge-500,12.1753961295359,0.824589490890503,122,,,
55,cambridge-500,11.1734332354249,0.70807957649231,92,,,
56,cambridge-500,14.2957847822946,0.761773109436035,114,,,
57,cambridge-500,10.5632100896126,6.04261994361877,1001,,,
58,cambridge-500,11.7855881665528,3.14087915420532,523,,,
59,cambridge-500,8.52982858736598,0.865814447402954,137,,,
60,cambridge-500,10.6277664655909,0.423896789550781,55,,,
61,cambridge-500,9.55035041228216,2.16754484176636,337,,,
62,cambridge-500,9.28433150626328,0.952293395996094,107,,,
63,cambridge-500,9.01301351042109,0.713512659072876,102,,,
64,cambridge-500,8.88423470913408,0.799556970596314,107,,,
65,cambridge-500,10.4806543617197,0.829360961914063,118,,,
66,cambridge-500,10.686192692819,0.230316162109375,34,,,
67,cambridge-500,9.08650472630302,0.781254053115845,116,,,
68,cambridge-500,8.98513861913663,5.96418285369873,1001,,,
69,cambridge-500,8.18303829056224,1.15005874633789,196,,,
70,cambridge-500,7.98424069157595,0.801436901092529,122,,,
71,cambridge-500,9.07326453101825,0.799445390701294,101,,,
72,cambridge-500,11.4391040151769,0.182980060577393,25,,,
73,cambridge-500,8.17965929437955,0.932062149047852,129,,,
74,cambridge-500,12.0740864957353,0.140443801879883,21,,,
75,cambridge-500,8.7556211273116,0.769139289855957,95,,,
76,cambridge-500,7.72152956557429,1.06107306480408,163,,,
77,cambridge-500,8.69029362953245,0.783592939376831,104,,,
78,cambridge-500,12.4256429024249,0.733653068542481,100,,,
79,cambridge-500,19.3899136347522,0.13521409034729,20,,,
80,cambridge-500,14.2646848591627,0.181860446929932,25,,,
81,cambridge-500,10.1129682176117,0.165410757064819,24,,,
82,cambridge-500,8.06641422045679,1.09376096725464,232,,,
83,cambridge-500,13.3193715107853,0.193214416503906,31,,,
84,cambridge-500,8.72104875955209,0.191458463668823,29,,,
85,cambridge-500,10.2679317633028,0.945000171661377,119,,,
86,cambridge-500,9.01390675147739,1.19533205032349,176,,,
87,cambridge-500,12.3556614220338,5.83190894126892,1001,,,
88,cambridge-500,7.1627035086939,0.174421787261963,25,,,
89,cambridge-500,15.7912416481795,0.188413143157959,28,,,
90,cambridge-500,8.00147261980722,0.147293329238892,22,,,
91,cambridge-500,9.99322914663733,0.774787664413452,128,,,
