Index,Graph,Flow Cost,Time (sec),Num Iters
0,london-500,4.384460356223097,1.442600965499878,6
1,london-500,4.423762316619929,1.477290153503418,6
2,london-500,3.1277505043585663,2.224443197250366,9
3,london-500,3.40082837978588,2.8886265754699707,12
4,london-500,6.20465720242569,1.9005465507507324,8
5,london-500,3.8315625190144935,3.32490611076355,14
6,london-500,2.4735304952989754,1.8978567123413086,8
7,london-500,2.7076018278575082,1.6658427715301514,7
8,london-500,4.593594279261236,3.5466132164001465,15
9,london-500,2.9134206143154118,2.129221200942993,9
10,london-500,3.183221125967879,1.4301390647888184,6
11,london-500,2.855226514981603,1.8928773403167725,8
12,london-500,2.905220287695017,1.668316125869751,7
13,london-500,3.235215211174802,0.9780771732330322,4
14,london-500,2.8568952763344058,1.2011191844940186,5
15,london-500,3.129244302485507,3.9650397300720215,17
16,london-500,3.4967594326994735,0.9701426029205322,4
17,london-500,6.963190732610981,1.2111504077911377,5
18,london-500,2.868252032701686,2.85842227935791,12
19,london-500,4.526731809850615,3.501905679702759,15
20,london-500,3.105402284534607,0.7241554260253906,3
21,london-500,4.0616511232973656,1.209296464920044,5
22,london-500,4.4164026672283665,1.6473610401153564,7
23,london-500,9.462590251397607,0.717695951461792,3
24,london-500,4.627318097833441,1.4268097877502441,6
25,london-500,7.241812456687322,2.2606489658355713,9
26,london-500,3.401043519488253,0.7493603229522705,3
27,london-500,4.645027154607545,3.4251973628997803,14
28,london-500,7.937298789585872,0.9867937564849854,4
29,london-500,5.056160399690887,1.2284026145935059,5
30,london-500,4.051115170459271,1.7491300106048584,7
31,london-500,5.860664716764776,1.9576168060302734,8
32,london-500,3.7679213079877893,1.732680082321167,7
33,london-500,3.3048400198639323,1.2324488162994385,5
34,london-500,10.691017563940635,0.9852728843688965,4
35,london-500,3.1809180767590726,3.181058883666992,13
36,london-500,2.771406178812046,2.4624807834625244,10
37,london-500,4.722306556208283,1.23020339012146,5
38,london-500,4.689908927372981,0.996157169342041,4
39,london-500,4.725549936485503,2.2041163444519043,9
40,london-500,3.2545193334561615,3.671417474746704,15
41,london-500,3.453490655201501,1.0022261142730713,4
42,london-500,3.3392952680047516,2.6888961791992188,11
43,london-500,4.441843690628724,0.7531344890594482,3
44,london-500,4.19847134109677,2.1964972019195557,9
