Index,Graph,Flow Cost,Time (sec),Num Iters,,
0,sf-market-500,8.88002849446886,2.11402344703674,126,,
1,sf-market-500,9.24485072775073,11.4421277046204,1001,,
2,sf-market-500,7.11454574633637,0.41874885559082,29,,
3,sf-market-500,8.60702679725769,1.65091800689697,144,,
4,sf-market-500,6.58984336175711,0.366194486618042,25,,
5,sf-market-500,8.29080892388786,1.76820254325867,139,,
6,sf-market-500,7.40878844285568,2.15926766395569,154,,
7,sf-market-500,6.66002153305566,0.534100532531738,37,,
8,sf-market-500,7.74947746113121,1.1062343120575,80,,
9,sf-market-500,7.08574983518387,2.12766814231873,182,,
10,sf-market-500,7.78375383667349,0.610342502593994,37,,
11,sf-market-500,7.00076874067346,2.25975155830383,154,,
12,sf-market-500,7.10603406538199,1.69437289237976,110,,
13,sf-market-500,7.45391805404188,0.482355833053589,33,,
14,sf-market-500,10.135880370888,1.74664187431335,126,,
15,sf-market-500,8.92614834305407,0.7667555809021,49,,
16,sf-market-500,6.9753146748648,0.541011571884155,40,,
17,sf-market-500,7.91731483588301,0.637457370758057,49,,
18,sf-market-500,7.21231882147809,0.428593158721924,30,,
19,sf-market-500,6.94899115847037,1.17634320259094,119,,Median Time
20,sf-market-500,6.5756162386954,1.60639905929565,88,,1.39606869220734
21,sf-market-500,8.37887664456984,1.62874698638916,112,,
22,sf-market-500,8.91256929897423,2.19394874572754,155,,
23,sf-market-500,7.63297436108241,1.52609705924988,95,,
24,sf-market-500,7.02701039316563,0.413144826889038,26,,
25,sf-market-500,8.01587439459794,1.94317483901978,107,,
26,sf-market-500,7.13569102456973,1.85048294067383,111,,
27,sf-market-500,7.69496459964075,0.562857389450073,38,,
28,sf-market-500,6.99481442390441,0.982737302780151,71,,
29,sf-market-500,6.66140854477033,1.58501052856445,101,,
30,sf-market-500,9.39507161440666,1.94254851341248,142,,
31,sf-market-500,8.06850988683584,2.57524728775024,153,,
32,sf-market-500,6.71938100246639,0.451202869415283,31,,
33,sf-market-500,6.69594510427695,0.400738477706909,28,,
34,sf-market-500,10.1400597371041,1.42154312133789,93,,
35,sf-market-500,7.13841518482484,0.597401857376099,41,,
36,sf-market-500,10.3893937698603,2.23628973960876,149,,
37,sf-market-500,7.37194911997797,1.68537616729736,106,,
38,sf-market-500,7.20854687338761,0.437212705612183,32,,
39,sf-market-500,6.89640173595972,0.383867502212524,26,,
40,sf-market-500,8.35943955404012,1.24993371963501,74,,
41,sf-market-500,6.62651860329293,0.548220157623291,34,,
42,sf-market-500,7.82783380711665,1.91491031646729,214,,
43,sf-market-500,7.709354589229,1.84195232391357,104,,
44,sf-market-500,7.33344287433938,0.598830223083496,47,,
45,sf-market-500,7.11095482725994,0.4774010181427,33,,
46,sf-market-500,7.02998248374461,0.440798282623291,30,,
47,sf-market-500,9.09547402957055,2.37332129478455,127,,
48,sf-market-500,7.91916743732871,2.30173301696777,161,,
49,sf-market-500,7.51305013199673,1.4410605430603,77,,
50,sf-market-500,8.03082877607172,0.494603157043457,36,,
51,sf-market-500,6.93162806042224,1.53026723861694,76,,
52,sf-market-500,7.45900045795975,1.73572635650635,110,,
53,sf-market-500,10.4865850660925,11.5561742782593,1001,,
54,sf-market-500,8.18315152627952,1.89291501045227,138,,
55,sf-market-500,7.32066669325786,11.6863217353821,1001,,
56,sf-market-500,7.07839537234869,2.45102429389954,147,,
57,sf-market-500,7.99653061115248,0.499208688735962,37,,
58,sf-market-500,6.85613596620576,0.385809183120728,27,,
59,sf-market-500,7.2374393948451,1.70877289772034,121,,
60,sf-market-500,10.7978122599837,2.27262902259827,195,,
61,sf-market-500,7.7013187050768,1.41140556335449,109,,
62,sf-market-500,7.8413406812727,0.70580792427063,49,,
63,sf-market-500,6.91237338110069,0.543169260025024,34,,
64,sf-market-500,6.7675051436635,1.68218588829041,109,,
65,sf-market-500,8.10447589980721,2.00608944892883,136,,
66,sf-market-500,7.8282001179629,2.36300730705261,175,,
67,sf-market-500,9.00330544716877,1.63514995574951,112,,
68,sf-market-500,7.73914599376294,1.72800898551941,121,,
69,sf-market-500,8.1920699874895,1.49923706054688,115,,
70,sf-market-500,7.41620415680939,0.533513784408569,41,,
71,sf-market-500,7.27193539149271,2.14563322067261,218,,
72,sf-market-500,7.73829226186472,0.487890243530273,34,,
73,sf-market-500,6.69116860337339,1.88090085983276,100,,
74,sf-market-500,7.21693374213284,1.93251705169678,126,,
75,sf-market-500,8.17613898900771,1.7506787776947,112,,
76,sf-market-500,7.53812777746448,11.2672529220581,1001,,
77,sf-market-500,8.01461699850114,1.56153798103333,134,,
78,sf-market-500,7.24307095677744,0.500939607620239,38,,
79,sf-market-500,7.12383930294904,0.529638290405273,34,,
80,sf-market-500,6.96980095272948,1.94274830818176,118,,
81,sf-market-500,7.21744136047002,2.33417844772339,146,,
82,sf-market-500,7.46546461583517,0.658862829208374,52,,
83,sf-market-500,7.85011895761532,1.90294241905212,118,,
84,sf-market-500,7.65117818297549,2.04346442222595,196,,
85,sf-market-500,8.02449504651314,0.956202745437622,56,,
86,sf-market-500,8.67631440598617,2.52577447891235,181,,
87,sf-market-500,6.67809525779105,0.413340091705322,28,,
88,sf-market-500,7.12010643613342,0.450819730758667,30,,
