Index,Graph,Flow Cost,Time (sec),Num Iters,,
75,nyc-1000,2.22553291301263,8.7508020401001,9,,
76,nyc-1000,6.36312696164169,10.5758655071259,11,,
77,nyc-1000,3.62059738440289,8.71236538887024,9,,
78,nyc-1000,2.77412558349387,15.3907401561737,16,,
79,nyc-1000,3.80143425699927,4.03192615509033,4,,
80,nyc-1000,2.97339539847218,5.89968657493591,6,,
81,nyc-1000,2.20703317315118,13.4657604694366,14,,
82,nyc-1000,1.41124092881942,7.72004580497742,8,,
83,nyc-1000,1.48382032375404,6.79139828681946,7,,
84,nyc-1000,1.26331263090205,13.4256055355072,14,,
85,nyc-1000,2.26483386850414,4.98662424087524,5,,
86,nyc-1000,2.92886926111068,6.7827832698822,7,,
87,nyc-1000,2.77047126618653,13.4209337234497,14,,
88,nyc-1000,1.38378671205539,8.72487330436707,9,,
89,nyc-1000,2.39632522270401,4.04920387268066,4,,
90,nyc-1000,3.4677569341817,5.93571043014526,6,,
91,nyc-1000,3.06341550414134,7.80127239227295,8,,
92,nyc-1000,4.95782370160598,3.11045050621033,3,,
93,nyc-1000,2.44082501480799,8.6916024684906,9,,
94,nyc-1000,3.2655617299337,7.8319718837738,8,,
95,nyc-1000,1.6742275637225,12.5499494075775,13,,
96,nyc-1000,2.61596544428605,8.79162240028381,9,,
97,nyc-1000,1.98254654994133,9.69746828079224,10,,
98,nyc-1000,4.74388466213097,4.03113770484924,4,,
99,nyc-1000,1.65969194147524,7.74013829231262,8,,
100,nyc-1000,2.89687424423213,8.75986504554749,9,,
101,nyc-1000,2.00529222725417,5.85244226455689,6,,
102,nyc-1000,3.94258887985357,4.92305207252502,5,,
103,nyc-1000,2.65746809563847,5.89619493484497,6,,
104,nyc-1000,4.16014017154251,8.71516036987305,9,,
105,nyc-1000,1.53306940117203,5.90781927108765,6,,
106,nyc-1000,2.06496497848528,7.82701110839844,8,,
107,nyc-1000,1.79523295900777,4.98204660415649,5,,
108,nyc-1000,3.83133073383167,6.81072115898132,7,,
109,nyc-1000,5.36065248286039,4.03000545501709,4,,
110,nyc-1000,2.80180992366549,7.81959342956543,8,,
111,nyc-1000,5.43576867922406,7.77908658981323,8,,
112,nyc-1000,1.78248936142648,9.66473865509033,10,,
113,nyc-1000,3.65485393562144,3.98656797409058,4,,
114,nyc-1000,2.06576194101306,10.6033346652985,11,,
115,nyc-1000,1.77564674047381,14.3577251434326,15,,
116,nyc-1000,2.59809583976201,8.75373268127441,9,,
117,nyc-1000,2.75168207687182,4.01248502731323,4,,
118,nyc-1000,2.26573158300428,6.92185068130493,7,,
119,nyc-1000,2.94969696622459,8.72391414642334,9,,
120,nyc-1000,3.23514890848683,5.94004583358765,6,,
121,nyc-1000,1.84170535956651,15.3291573524475,16,,
122,nyc-1000,1.97727451257751,6.87432718276978,7,,
123,nyc-1000,5.18018079789131,4.02965641021729,4,,
124,nyc-1000,1.99246351048157,6.84297657012939,7,,
125,nyc-1000,2.60752141949406,5.83214259147644,6,,
126,nyc-1000,4.23202644168963,6.81116700172424,7,,
127,nyc-1000,6.14051169486311,4.91956114768982,5,,
128,nyc-1000,2.17748530287377,5.9241931438446,6,,
129,nyc-1000,5.08969353379802,3.11478781700134,3,,
130,nyc-1000,1.68812564535154,5.88709735870361,6,,
131,nyc-1000,3.27221548250375,6.82535648345947,7,,
132,nyc-1000,2.50247062722863,4.97789025306702,5,,
