Index,Graph,Flow Cost,Time (sec),Num Iters,,
0,cambridge-500,10.5504518493423,0.015975713729858,3,,
1,cambridge-500,8.78967000338368,0.019002199172974,4,,
2,cambridge-500,9.21434650912737,0.024068117141724,5,,
3,cambridge-500,9.54413776265312,0.022406816482544,5,,
4,cambridge-500,7.55020349452548,0.020617961883545,5,,
5,cambridge-500,9.09480469596534,0.01581335067749,3,,
6,cambridge-500,8.56305236314352,0.014573812484741,3,,
7,cambridge-500,14.748707114264,0.016177415847778,3,,
8,cambridge-500,7.91545559816129,0.020158529281616,5,,
9,cambridge-500,16.2468036260932,0.023022890090942,5,,
10,cambridge-500,9.87403848260157,0.026720762252808,6,,
11,cambridge-500,9.19969836138462,0.024361371994019,5,,0.017945885658264
12,cambridge-500,9.31687184124844,0.02370548248291,4,,
13,cambridge-500,10.4838935671041,0.016796112060547,4,,
14,cambridge-500,17.3686226794953,0.040386915206909,9,,
15,cambridge-500,19.2286104453877,0.014298439025879,3,,
16,cambridge-500,13.2483940200101,0.020772695541382,4,,
17,cambridge-500,8.46864202511068,0.019952774047852,4,,
18,cambridge-500,9.03979374361561,0.017544507980347,3,,
19,cambridge-500,13.3751938324184,0.023934841156006,6,,
20,cambridge-500,8.06475512196783,0.031819343566895,6,,
21,cambridge-500,10.150674943827,0.026772260665894,5,,
22,cambridge-500,14.0660214965392,0.028355360031128,7,,
23,cambridge-500,9.40752985934509,0.023503541946411,5,,
24,cambridge-500,10.0024144814822,0.018162250518799,4,,
25,cambridge-500,9.1125900119224,0.018425703048706,4,,
26,cambridge-500,11.6947613261869,0.022663593292236,5,,
27,cambridge-500,14.042373884279,0.021201610565186,5,,
28,cambridge-500,10.3306356524413,0.024214267730713,6,,
29,cambridge-500,9.04834899584398,0.024572610855103,6,,
30,cambridge-500,10.0126672376602,0.028952360153198,7,,
31,cambridge-500,8.92763078346641,0.01340913772583,2,,
32,cambridge-500,8.88047989661929,0.023114442825317,5,,
33,cambridge-500,12.9462317295123,0.013627767562866,3,,
34,cambridge-500,13.3296674538538,0.014592885971069,3,,
35,cambridge-500,14.032316992166,0.02024507522583,5,,
36,cambridge-500,7.09568299925296,0.01695442199707,4,,
37,cambridge-500,11.2888677852383,0.021538019180298,5,,
38,cambridge-500,9.16270484940174,0.011135101318359,2,,
39,cambridge-500,12.5003010440305,0.027201652526856,7,,
40,cambridge-500,10.0506384466726,0.022156476974487,5,,
41,cambridge-500,11.0788983157921,0.021770477294922,3,,
42,cambridge-500,10.9320134903739,0.017283201217651,4,,
43,cambridge-500,12.4221982722258,0.013148784637451,3,,
44,cambridge-500,11.0782885282228,0.011960983276367,2,,
45,cambridge-500,8.50011326971433,0.014977216720581,3,,
46,cambridge-500,9.95189617700629,0.020399570465088,5,,
47,cambridge-500,13.8475923666132,0.0202796459198,5,,
48,cambridge-500,9.73876780115659,0.041836738586426,9,,
49,cambridge-500,14.1043198444662,0.018896818161011,3,,
50,cambridge-500,11.7212807296223,0.025917053222656,5,,
51,cambridge-500,8.11047503273072,0.018191337585449,3,,
52,cambridge-500,9.53720539962866,0.023055076599121,5,,
53,cambridge-500,9.52776750802243,0.020772457122803,5,,
54,cambridge-500,13.3965749402873,0.016958951950073,4,,
55,cambridge-500,12.1397104966989,0.01844334602356,5,,
56,cambridge-500,14.3354226277593,0.02110505104065,5,,
57,cambridge-500,10.5994343394188,0.014850854873657,3,,
58,cambridge-500,12.5186809347422,0.017510175704956,4,,
59,cambridge-500,8.5567917430587,0.027337312698364,7,,
60,cambridge-500,11.5290006687743,0.022386074066162,4,,
61,cambridge-500,10.8154072318341,0.015440702438355,3,,
62,cambridge-500,11.2342377039262,0.026114463806152,6,,
63,cambridge-500,9.64767610852947,0.016716003417969,2,,
64,cambridge-500,9.80242337141219,0.025831699371338,6,,
65,cambridge-500,10.6550537661615,0.022951126098633,5,,
66,cambridge-500,11.937606981618,0.025809764862061,5,,
67,cambridge-500,9.99868558990643,0.010192632675171,2,,
68,cambridge-500,9.01933788672027,0.020244598388672,5,,
69,cambridge-500,8.30513178098705,0.02082896232605,5,,
70,cambridge-500,8.03073145963779,0.022945880889893,5,,
71,cambridge-500,9.27256242111908,0.031719207763672,8,,
72,cambridge-500,12.2928058272697,0.017264366149902,3,,
73,cambridge-500,8.38550083537491,0.02570915222168,5,,
74,cambridge-500,13.0274712418093,0.020277500152588,5,,
75,cambridge-500,9.18224673200356,0.020026445388794,5,,
76,cambridge-500,7.75100048530156,0.019183158874512,4,,
77,cambridge-500,8.74299614201959,0.023812294006348,6,,
78,cambridge-500,13.3389074608078,0.020521402359009,5,,
79,cambridge-500,21.7150015495279,0.035139799118042,9,,
80,cambridge-500,14.8582887631531,0.023555278778076,5,,
81,cambridge-500,11.0924506351401,0.029141902923584,7,,
82,cambridge-500,8.36051919602875,0.02147102355957,4,,
83,cambridge-500,14.0679811183935,0.024949550628662,5,,
84,cambridge-500,9.81881183925066,0.027394533157349,6,,
85,cambridge-500,10.6384053483728,0.015347242355347,3,,
86,cambridge-500,9.1345686918902,0.018237113952637,4,,
87,cambridge-500,14.502442949141,0.019870281219483,2,,
88,cambridge-500,9.04794908180359,0.024425268173218,6,,
89,cambridge-500,18.9849600574514,0.020329475402832,4,,
90,cambridge-500,8.12028020252717,0.018985033035278,3,,
91,cambridge-500,10.0981552840069,0.021893978118897,6,,
92,cambridge-500,10.4568965412097,0.020487785339356,4,,
93,cambridge-500,13.5446245058423,0.01807975769043,2,,
94,cambridge-500,13.4285871064772,0.029220342636108,7,,
