Index,Graph,Flow Cost,Time (sec),Num Iters
0,cambridge-500,3.283292503025878,0.027062654495239258,7
1,cambridge-500,2.8435759841103607,0.02709031105041504,7
2,cambridge-500,2.5026438022501303,0.03366208076477051,9
3,cambridge-500,3.0886061346641798,0.037485361099243164,10
4,cambridge-500,2.3303728125968406,0.027051925659179688,7
5,cambridge-500,3.0727074557760465,0.02642989158630371,7
6,cambridge-500,2.258814337050525,0.03399848937988281,9
7,cambridge-500,3.759262528697571,0.013116598129272461,3
8,cambridge-500,2.7053066425594943,0.01309061050415039,3
9,cambridge-500,6.274664120435593,0.023953676223754883,6
10,cambridge-500,2.9543212575676665,0.027382373809814453,7
11,cambridge-500,3.1061618787095444,0.019919872283935547,5
12,cambridge-500,2.421809438110232,0.03807830810546875,10
13,cambridge-500,3.146386660668048,0.030714035034179688,8
14,cambridge-500,7.218687668837585,0.020075082778930664,5
15,cambridge-500,6.04050064259055,0.020045757293701172,5
16,cambridge-500,5.502466023545456,0.016390323638916016,4
17,cambridge-500,3.239543233361832,0.030452728271484375,8
18,cambridge-500,2.320472211920271,0.03729081153869629,10
19,cambridge-500,4.548972961748356,0.03757143020629883,10
20,cambridge-500,2.11670072225306,0.03755307197570801,10
21,cambridge-500,2.7368379835955485,0.023628711700439453,6
22,cambridge-500,4.974652717602722,0.030204057693481445,8
23,cambridge-500,2.6370003167137446,0.023185253143310547,6
24,cambridge-500,2.528184226263969,0.02683258056640625,7
25,cambridge-500,2.4324125470980853,0.019846439361572266,5
26,cambridge-500,3.7112535949488503,0.027180194854736328,7
27,cambridge-500,5.555687125556918,0.02161097526550293,5
28,cambridge-500,3.745138904288306,0.016463756561279297,4
29,cambridge-500,2.6675772863664093,0.0305330753326416,8
30,cambridge-500,2.814085944535248,0.047882080078125,13
31,cambridge-500,2.677844148300729,0.030409812927246094,8
32,cambridge-500,3.677001779508036,0.03066706657409668,8
33,cambridge-500,4.755273385925855,0.03395724296569824,9
34,cambridge-500,4.557297597211212,0.020572185516357422,5
35,cambridge-500,4.468259680191341,0.01965165138244629,5
36,cambridge-500,2.2719306606362895,0.016828536987304688,4
37,cambridge-500,3.6776874528722048,0.030098438262939453,8
38,cambridge-500,2.955828806124585,0.020389080047607422,5
39,cambridge-500,4.579486104344175,0.02383565902709961,6
40,cambridge-500,3.3542321087518596,0.017112016677856445,4
41,cambridge-500,3.448518793529272,0.03095412254333496,8
42,cambridge-500,3.7091813432729555,0.0201718807220459,5
43,cambridge-500,3.7266152514827207,0.027304410934448242,7
44,cambridge-500,3.1387259984367053,0.02000260353088379,5
45,cambridge-500,2.3754046887569955,0.026796340942382812,7
46,cambridge-500,4.264927687030725,0.02465534210205078,6
47,cambridge-500,4.782318987507101,0.034568071365356445,9
48,cambridge-500,4.293203088352356,0.03112030029296875,8
49,cambridge-500,4.514744059999251,0.019990921020507812,5
50,cambridge-500,4.844919169541324,0.01998162269592285,5
51,cambridge-500,2.750195903739218,0.018282413482666016,4
52,cambridge-500,3.6652756949464287,0.013625144958496094,3
53,cambridge-500,3.2193398836332343,0.03380703926086426,9
54,cambridge-500,4.958699097927682,0.020544052124023438,5
55,cambridge-500,4.597789082805782,0.030038833618164062,8
56,cambridge-500,5.879957712843856,0.02059793472290039,5
57,cambridge-500,3.438362397736414,0.03842306137084961,10
58,cambridge-500,4.096957920899377,0.03064441680908203,8
59,cambridge-500,2.367864693226164,0.027010440826416016,7
60,cambridge-500,3.6899950663462158,0.023034334182739258,6
61,cambridge-500,3.1080998548136893,0.01685953140258789,4
62,cambridge-500,3.053868859999963,0.030091524124145508,8
63,cambridge-500,2.74842425080237,0.01666998863220215,4
64,cambridge-500,2.657842705998351,0.030365943908691406,8
65,cambridge-500,3.137432688197349,0.023697376251220703,6
66,cambridge-500,4.025271008505042,0.025033950805664062,6
67,cambridge-500,3.269455525502269,0.031047821044921875,8
68,cambridge-500,2.4085677603460303,0.013381004333496094,3
69,cambridge-500,2.052722194425055,0.01620650291442871,4
70,cambridge-500,1.961188094099735,0.0337224006652832,9
71,cambridge-500,2.9153030552607184,0.009879589080810547,2
72,cambridge-500,4.16979587476354,0.029141664505004883,7
73,cambridge-500,2.0638513337181275,0.02004408836364746,5
74,cambridge-500,4.1558089090840715,0.020453214645385742,5
75,cambridge-500,2.490116153627976,0.03451347351074219,9
76,cambridge-500,2.149724104704426,0.02664804458618164,7
77,cambridge-500,2.7332276078423523,0.02755570411682129,7
78,cambridge-500,4.482487236308245,0.019739627838134766,5
79,cambridge-500,9.12954507497858,0.013236761093139648,3
80,cambridge-500,5.240445063893787,0.04104256629943848,11
81,cambridge-500,4.3673170554475975,0.023186206817626953,6
82,cambridge-500,2.2737290401380337,0.020504474639892578,5
83,cambridge-500,4.828260149092323,0.047506093978881836,13
84,cambridge-500,2.6833122305847854,0.03762054443359375,10
85,cambridge-500,3.092182204959756,0.0277554988861084,7
86,cambridge-500,2.4929922159950744,0.05061507225036621,14
87,cambridge-500,4.343304716248191,0.05181264877319336,14
88,cambridge-500,2.3881218623181923,0.02317667007446289,6
89,cambridge-500,6.925264267607009,0.016651630401611328,4
90,cambridge-500,2.649736918167551,0.026505470275878906,7
91,cambridge-500,3.143796870679058,0.023946523666381836,6
92,cambridge-500,3.027189477581254,0.027237892150878906,7
93,cambridge-500,4.200071677432051,0.027093172073364258,7
94,cambridge-500,5.104860208859956,0.020081281661987305,5
95,cambridge-500,2.1955495889668235,0.030609846115112305,8
96,cambridge-500,2.8455198359890335,0.033658742904663086,9
