Epoch,Avg Train Loss,Avg Valid Loss
0,2354.4875,2331.5713
1,1729.0891,1442.8706
2,657.3915,145.45757
3,347.1708,109.96892
4,548.427,53.147156
5,2956.1343,11350.763
6,558.21405,81.60423
7,73.33395,42.693077
8,403.67432,88.701485
9,74.10056,25.397772
10,36.64603,31.083805
11,38.32361,37.035133
12,43.552605,23.379004
13,36.995396,22.194883
14,33.69759,19.171112
15,66.1846,22.208141
16,33.983242,17.057837
17,35.44632,18.172987
18,49.860123,19.558521
19,30.640833,20.92229
20,73.6256,18.880468
21,30.57028,17.174122
22,28.490746,18.200039
23,600.72424,18.034573
24,89.82667,21.371769
25,1051.9731,50.06713
26,323.43246,16.24303
27,64.7835,16.861498
28,26.33592,15.820996
29,31.289778,18.117188
30,64.08069,21.325777
31,27.698515,16.017046
32,44.713074,15.888717
33,24.998627,22.320272
34,30.857859,16.574835
35,32.718945,18.736721
36,37.140366,15.162007
37,24.559763,15.765979
38,25.746809,15.689473
39,24.20627,15.368054
40,23.664335,14.496352
41,23.50743,14.245528
42,25.429472,21.014545
43,23.203203,14.126791
44,21.014841,19.760294
45,147.29271,13.902115
46,58.1908,13.420337
47,20.3441,14.794926
48,19.556004,12.957448
49,20.470654,12.856213
50,20.23148,14.216367
51,19.387524,13.134523
52,19.559141,12.292245
53,18.246155,13.302609
54,18.205095,13.053013
55,18.509792,12.260952
56,18.330765,12.020811
57,18.25257,12.117517
58,17.790289,12.135587
59,18.065544,12.383688
60,17.191885,12.056072
61,16.524704,14.803255
62,15.954305,10.768423
63,16.186518,10.4970255
64,15.607108,32.041187
65,15.809616,11.241121
66,15.148877,9.939837
67,15.225664,11.073096
68,15.079145,10.09664
69,14.760784,20.197815
70,14.743183,11.888475
71,14.675551,11.440399
72,14.417317,10.36671
73,15.146689,9.748303
74,13.561726,10.341954
75,13.607652,9.645814
76,13.338942,8.709775
77,13.051496,9.881449
78,12.958473,9.093274
79,12.632227,8.696653
80,12.789191,9.225513
81,12.538077,9.42003
82,11.893506,12.212952
83,11.950972,8.794427
84,12.280315,9.450192
85,11.711704,8.744188
86,12.067791,9.119983
87,11.275985,7.7689147
88,11.148614,7.5480585
89,10.8831215,8.609268
90,10.498201,8.663868
91,11.063627,8.489368
92,10.211154,8.262451
93,10.402995,8.772673
94,10.573265,8.4378195
95,10.119205,7.1835794
96,10.127381,9.59602
97,10.386234,10.475116
98,9.934483,7.1059284
99,10.12245,7.480067
