Index,Graph,Flow Cost,Time (sec),Num Iters
0,cambridge-500,3.1691970145439523,0.19612765312194824,26
1,cambridge-500,2.771973507062512,0.17543506622314453,26
2,cambridge-500,2.417865713395694,0.18426966667175293,24
3,cambridge-500,2.8514882608187038,0.21173787117004395,32
4,cambridge-500,2.265532744341089,0.7879083156585693,106
5,cambridge-500,3.056949312866656,0.17327380180358887,25
6,cambridge-500,2.235072853509257,0.18773698806762695,29
7,cambridge-500,3.7447032869703825,0.16825604438781738,24
8,cambridge-500,2.204308932769099,0.38712096214294434,32
9,cambridge-500,6.242453568016057,0.20766925811767578,28
10,cambridge-500,2.6118750548296656,0.6809144020080566,95
11,cambridge-500,2.902006219219078,0.639934778213501,84
12,cambridge-500,2.192402768728634,0.7185227870941162,99
13,cambridge-500,3.0945754343699043,0.19456100463867188,31
14,cambridge-500,6.383457755865973,0.8285281658172607,129
15,cambridge-500,5.8690502573478485,0.16468238830566406,24
16,cambridge-500,4.481964654745038,0.5789484977722168,84
17,cambridge-500,2.876737576648902,0.7157549858093262,93
18,cambridge-500,2.260570938656151,0.37154150009155273,51
19,cambridge-500,4.36578385792915,0.1766977310180664,26
20,cambridge-500,2.0228692930420253,0.1569526195526123,23
21,cambridge-500,2.631794446001953,0.8491134643554688,122
22,cambridge-500,4.940583330276115,0.1770763397216797,26
23,cambridge-500,2.524808433729977,0.7243950366973877,85
24,cambridge-500,2.4835141946853034,0.8299319744110107,121
25,cambridge-500,2.2901796436996382,0.7844300270080566,136
26,cambridge-500,3.6536912659668066,0.7075366973876953,81
27,cambridge-500,5.289795314927759,0.8704860210418701,97
28,cambridge-500,2.99241391610648,0.3709146976470947,46
29,cambridge-500,2.603840855711568,0.20288777351379395,29
30,cambridge-500,2.7721697175109874,0.16643095016479492,21
31,cambridge-500,2.488634418043543,0.7987058162689209,122
32,cambridge-500,3.665332077740893,0.17592501640319824,26
33,cambridge-500,4.508495644443385,0.7330961227416992,98
34,cambridge-500,3.9379307059012976,0.8997795581817627,141
35,cambridge-500,3.920397256877885,0.22000455856323242,30
36,cambridge-500,1.901276190328923,0.2059478759765625,28
37,cambridge-500,3.668071941449334,0.1738269329071045,25
38,cambridge-500,2.915395567563423,0.9671995639801025,111
39,cambridge-500,3.5695703627152664,0.21028637886047363,28
40,cambridge-500,2.7451666851596963,0.881263017654419,105
41,cambridge-500,3.2477710685644294,0.16855406761169434,24
42,cambridge-500,3.5029859293896104,0.6844656467437744,95
43,cambridge-500,3.257112576464442,0.8448114395141602,110
44,cambridge-500,3.026693683596382,0.18578052520751953,25
45,cambridge-500,2.355206384362372,0.8061122894287109,108
46,cambridge-500,3.9403592787685664,0.8961348533630371,104
47,cambridge-500,3.8724794914791567,0.3453257083892822,30
48,cambridge-500,2.7735178609985995,1.2473092079162598,128
49,cambridge-500,4.489770981588392,0.8059291839599609,97
50,cambridge-500,3.778767253299608,0.17829203605651855,26
51,cambridge-500,1.9006500427409707,0.23774409294128418,27
52,cambridge-500,3.5161269250055516,0.16561198234558105,24
53,cambridge-500,2.7979535680060277,0.8889310359954834,141
54,cambridge-500,4.152426592399599,0.7593469619750977,100
55,cambridge-500,3.686873917992575,0.40681958198547363,50
56,cambridge-500,5.83251644039297,0.18469762802124023,26
57,cambridge-500,3.188062541335391,0.6031172275543213,86
58,cambridge-500,3.93480592186037,0.6249949932098389,81
59,cambridge-500,2.3185336750334122,0.14047026634216309,20
60,cambridge-500,3.3288533997206553,0.16521930694580078,24
61,cambridge-500,2.976322962143107,0.17013978958129883,25
62,cambridge-500,2.646215252482103,0.20580172538757324,24
63,cambridge-500,2.6680913398082415,0.7508182525634766,101
64,cambridge-500,2.567216770712792,0.17071795463562012,25
65,cambridge-500,3.0970517584694517,0.7544417381286621,101
66,cambridge-500,3.3517966765697884,0.22715330123901367,35
67,cambridge-500,2.8423285520881887,0.23948240280151367,31
68,cambridge-500,2.3997926622801087,0.19265294075012207,26
69,cambridge-500,2.057340755340251,1.1793937683105469,118
70,cambridge-500,1.925952555098111,0.824054479598999,117
71,cambridge-500,2.909165005573169,0.7044806480407715,80
72,cambridge-500,3.978250367451651,0.47008752822875977,81
73,cambridge-500,2.0608390566534727,0.18815350532531738,25
74,cambridge-500,3.9580645931508878,0.7019684314727783,103
75,cambridge-500,2.314354535095171,0.1883542537689209,27
76,cambridge-500,2.1209922359192395,0.21079039573669434,24
77,cambridge-500,2.556880924327145,0.2546498775482178,34
78,cambridge-500,4.23696203710353,0.17372822761535645,25
79,cambridge-500,9.013844517578109,0.6447396278381348,94
80,cambridge-500,5.1902233024605415,0.17714548110961914,25
81,cambridge-500,4.137140284595993,0.22386384010314941,29
82,cambridge-500,2.193584672435794,0.15367746353149414,22
83,cambridge-500,4.755534835648978,0.18585848808288574,26
84,cambridge-500,2.681324292379093,0.15308880805969238,21
85,cambridge-500,3.063982072804855,0.7381806373596191,99
86,cambridge-500,2.4861464259122723,0.5969963073730469,86
87,cambridge-500,4.14659247106349,0.17487144470214844,24
88,cambridge-500,1.993181413748684,0.16765570640563965,25
89,cambridge-500,6.596391542067737,0.9035542011260986,110
90,cambridge-500,2.3636089566947556,0.19460296630859375,28
91,cambridge-500,2.8497894105198323,0.1652212142944336,26
92,cambridge-500,2.670463417265673,0.16356587409973145,23
93,cambridge-500,4.020221218714676,0.17756104469299316,25
94,cambridge-500,4.149795428525741,0.1803591251373291,27
95,cambridge-500,1.9970380921165674,0.17208623886108398,24
96,cambridge-500,2.521976593431563,0.9161958694458008,111
